"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2026","0.2703","0.2571","0.2800","0.2500","4.46M","8.12%"
"03/18/2026","0.2500","0.2550","0.2800","0.2400","4.84M","-5.66%"
"03/17/2026","0.2650","0.2550","0.3200","0.2400","9.94M","3.92%"
"03/16/2026","0.2550","0.2100","0.2700","0.2100","9.48M","21.43%"
"03/13/2026","0.2100","0.1750","0.2200","0.1600","5.30M","20.00%"
"03/12/2026","0.1750","0.1700","0.1900","0.1600","4.14M","2.94%"
"03/11/2026","0.1700","0.1900","0.2000","0.1675","2.34M","-10.53%"
"03/10/2026","0.1900","0.1900","0.2000","0.1800","1.22M","0.00%"
"03/09/2026","0.1900","0.1900","0.2000","0.1800","1.05M","0.00%"
"03/06/2026","0.1900","0.1900","0.1800","0.1800","42.66K","0.00%"
"03/05/2026","0.1900","0.1950","0.2000","0.1800","1.02M","-2.56%"
"03/04/2026","0.1950","0.1900","0.2000","0.1804","834.09K","2.63%"
"03/03/2026","0.1900","0.1850","0.2000","0.1750","1.13M","2.70%"
"03/02/2026","0.1850","0.1850","0.2000","0.1700","2.30M","2.78%"
"02/27/2026","0.1800","0.1900","0.2000","0.1700","2.57M","-5.26%"
"02/26/2026","0.1900","0.2000","0.2100","0.1900","548.14K","-5.00%"
"02/25/2026","0.2000","0.1900","0.2100","0.1800","3.22M","8.11%"
"02/24/2026","0.1850","0.1950","0.2000","0.1800","3.38M","-5.13%"
"02/23/2026","0.1950","0.1950","0.1985","0.1822","913.32K","0.00%"
"02/20/2026","0.1950","0.1950","0.2100","0.1800","19.25K","0.00%"
"02/19/2026","0.1950","0.1950","0.2100","0.1800","381.54K","0.00%"